Company,Ticker,Market Cap,Enterprise Value,Last Price,52 Week High,Current Price %,EBITDA,Net Profit,Revenue
Zhifei Biological,300122.SZ,60586823680,64440561664,27.530000686645508,57.57183074951172,47.81852570647842,4324428288,3690167808,36432355328
CanSino Biologics,6185.HK,10595782656,5376043520,31.850000381469727,35.650001525878906,89.34081071034261,-829733568,-720112064,748529472
Kangtai Biological,300601.SZ,17156044800,18481494016,17.729999542236328,26.3221378326416,67.35774903605922,561219072,515348640,3031175680
Walvax Biotech,300142.SZ,18600441856,17075392512,12.520000457763672,23.072717666625977,54.26322394554107,669517504,122372384,3097074176
Novavax,NVAX,1378391808,731085888,7.929999828338623,20.969999313354492,37.81592793514542,-243246000,-284857984,885193024
